method,best_found,reference_optimum,gap_percent_corrected,test_mean_length,test_mean_gap_percent,test_best_length,test_mode_length,test_mode_fraction,test_unique_tours,checkpoint_epoch,notes
cosine_elite,6.031545,5.207124420405269,15.832550,6.099992,17.147038,6.031545,,,850,"single scaling run; elite checkpoint"
annealed_kl,5.430757,5.207124420405269,4.294742,5.442529,4.520817,5.430757,5.430757,0.4705,346,2950,"single scaling run; raw script printed 54.5609% because it reused the TSP-20 reference optimum"
