seed,best_cost,best_gap_percent,best_found_eval,target_hit,target_eval,best_validation_epoch,best_validation_mean,final_mean_cost,final_mean_gap_percent,final_best_cost,final_best_gap_percent,retention_loss,final_optimum_fraction,final_unique_permutations,final_unique_fraction,training_objective_evaluations
42,2822.0,9.805447578430176,1695027,False,,3000,2898.04931640625,2898.146484375,12.768345832824707,2898.0,12.762646675109863,76.0,0.0,11,0.00067138671875,3317760
43,2784.0,8.326848983764648,1981013,False,,2950,2804.09326171875,2804.14892578125,9.11085319519043,2804.0,9.105057716369629,20.0,0.0,8,0.00048828125,3317760
44,2760.0,7.392995834350586,1787096,False,,2950,2816.08251953125,2816.1064453125,9.576126098632812,2816.0,9.57198429107666,56.0,0.0,9,0.00054931640625,3317760
45,2850.0,10.894941329956055,1886052,False,,2900,2878.03125,2878.2197265625,11.992985725402832,2878.0,11.984435081481934,28.0,0.0,12,0.000732421875,3317760
46,2774.0,7.937743663787842,1700122,False,,2900,2842.04150390625,2842.09326171875,10.587285995483398,2842.0,10.583658218383789,68.0,0.0,10,0.0006103515625,3317760
47,2796.0,8.793774604797363,456681,False,,2700,2886.0771484375,2886.122314453125,12.300479888916016,2886.0,12.295720100402832,90.0,0.0,17,0.00103759765625,3317760
48,2772.0,7.859922409057617,1708994,False,,2800,2804.0830078125,2804.244384765625,9.114566802978516,2804.0,9.105057716369629,32.0,0.0,12,0.000732421875,3317760
49,2788.0,8.482490539550781,1738230,False,,2950,2788.0537109375,2788.1328125,8.487658500671387,2788.0,8.482490539550781,0.0,0.0,13,0.00079345703125,3317760
50,2848.0,10.817120552062988,1681812,False,,2850,2848.0859375,2848.11328125,10.821528434753418,2848.0,10.817120552062988,0.0,0.0,11,0.00067138671875,3317760
51,2754.0,7.159533500671387,1635984,False,,2950,2816.05615234375,2816.11279296875,9.576373100280762,2816.0,9.57198429107666,62.0,0.0,9,0.00054931640625,3317760
