seed,best_validation_epoch,best_validation_mean,best_validation_best,test_mean_length,test_best_length,test_mode_length,test_mode_fraction,test_fraction_optimal,test_unique_tours,optimization_best_length,best_found_epoch,best_length_including_test,gap_percent,optimum_hit,best_tour
42,2999,3.5240278244018555,3.5136687755584717,3.5238051414489746,3.522437572479248,3.522437334060669,0.989013671875,0,21,3.5136687755584717,258,3.5136687755584717,-0.0000020047856315837653,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
43,2950,3.523947238922119,3.5136687755584717,3.524099111557007,3.522437572479248,3.522437334060669,0.98883056640625,0,21,3.5136687755584717,387,3.5136687755584717,-0.0000020047856315837653,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
44,2950,3.5234215259552,3.5136687755584717,3.524068593978882,3.522437572479248,3.522437334060669,0.98809814453125,0,20,3.5136687755584717,312,3.5136687755584717,-0.0000020047856315837653,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
45,2999,3.5242443084716797,3.5136687755584717,3.523803949356079,3.522437334060669,3.522437334060669,0.989990234375,0,20,3.5136685371398926,415,3.5136685371398926,-0.000008790245205356088,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
46,2950,3.5238635540008545,3.5136687755584717,3.524221181869507,3.522437572479248,3.522437334060669,0.98651123046875,0,21,3.5136687755584717,297,3.5136687755584717,-0.0000020047856315837653,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
47,2999,3.536055564880371,3.5136687755584717,3.538024425506592,3.522437334060669,3.522437334060669,0.95703125,0,102,3.5136687755584717,271,3.5136687755584717,-0.0000020047856315837653,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
48,2950,3.5147573947906494,3.5136687755584717,3.5152437686920166,3.5136687755584717,3.5136687755584717,0.98956298828125,0.98956298828125,19,3.5136687755584717,401,3.5136687755584717,-0.0000020047856315837653,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
49,2950,3.523989677429199,3.5136687755584717,3.5238308906555176,3.522437572479248,3.522437334060669,0.98974609375,0,20,3.5136687755584717,228,3.5136687755584717,-0.0000020047856315837653,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
50,2999,3.523449182510376,3.522437334060669,3.523754119873047,3.522437334060669,3.522437334060669,0.9888916015625,0,20,3.5136687755584717,266,3.5136687755584717,-0.0000020047856315837653,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
51,2999,3.523798704147339,3.5136685371398926,3.5239205360412598,3.522437572479248,3.522437334060669,0.98956298828125,0,20,3.5136685371398926,273,3.5136685371398926,-0.000008790245205356088,true,"[0, 11, 2, 19, 3, 6, 9, 8, 15, 1, 16, 17, 4, 18, 7, 5, 12, 14, 10, 13]"
