exploration_fraction_requested,exploration_fraction_actual,seed,n_flow,n_explore,best_validation_epoch,best_validation_mean,test_mean_length,test_best_length,best_length_ever,best_flow_length_ever,best_explore_length_ever,final_mean_length,final_flow_mean_length,final_explore_mean_length,final_unique_all,final_unique_flow,final_unique_explore,final_rho_explore,final_grad_norm,target_hit,best_source,runtime_seconds
0.0,0.0,42,1024,0,2000,3.569880485534668,3.5700345039367676,3.5695297718048096,3.5136685371398926,3.5136685371398926,,3.5697317123413086,3.5697317123413086,,0.001953125,0.001953125,,,0.21090301871299744,True,flow,108.64851679699859
0.0,0.0,43,1024,0,1900,4.032646656036377,4.032769203186035,4.0324931144714355,4.0324931144714355,4.0324931144714355,,4.032576560974121,4.032576560974121,,0.001953125,0.001953125,,,0.11237584054470062,False,flow,106.27811078000013
0.0,0.0,44,1024,0,2000,3.591674327850342,3.5917162895202637,3.591417074203491,3.5136687755584717,3.5136687755584717,,3.591768741607666,3.591768741607666,,0.0048828125,0.0048828125,,,0.3695617914199829,True,flow,104.82613498200226
0.0,0.0,45,1024,0,1950,3.523202896118164,3.522812843322754,3.522437572479248,3.522437572479248,3.522437572479248,,3.5227396488189697,3.5227396488189697,,0.001953125,0.001953125,,,0.4459769129753113,False,flow,92.44428765300108
0.0,0.0,46,1024,0,1950,3.5834622383117676,3.583475112915039,3.583314895629883,3.522437334060669,3.522437334060669,,3.5836424827575684,3.5836424827575684,,0.0029296875,0.0029296875,,,1.5858672857284546,False,flow,93.74724692699965
0.0,0.0,47,1024,0,2000,3.586393356323242,3.5868616104125977,3.583314895629883,3.5136685371398926,3.5136685371398926,,3.587012767791748,3.587012767791748,,0.00390625,0.00390625,,,0.8998790979385376,True,flow,102.3500413719994
0.0,0.0,48,1024,0,2000,4.213044166564941,4.213194370269775,4.211062908172607,3.867236614227295,3.867236614227295,,4.21223258972168,4.21223258972168,,0.00390625,0.00390625,,,1.2688308954238892,False,flow,104.33631242100091
0.0,0.0,49,1024,0,1850,3.5226850509643555,3.522662401199341,3.522437334060669,3.5136685371398926,3.5136685371398926,,3.5226378440856934,3.5226378440856934,,0.001953125,0.001953125,,,0.585282027721405,True,flow,107.18558850599948
0.0,0.0,50,1024,0,2000,3.858344554901123,3.8582098484039307,3.8542838096618652,3.522437572479248,3.522437572479248,,3.857379674911499,3.857379674911499,,0.0029296875,0.0029296875,,,2.435471534729004,False,flow,107.37284958200325
0.0,0.0,51,1024,0,2000,3.770632028579712,3.770906925201416,3.769927978515625,3.5695295333862305,3.5695295333862305,,3.771756887435913,3.771756887435913,,0.0068359375,0.0068359375,,,1.250423789024353,False,flow,102.84989372800192
0.1,0.099609375,42,922,102,1950,3.6123392581939697,3.611053943634033,3.583314895629883,3.5136685371398926,3.5136685371398926,6.418509483337402,4.342987060546875,3.6261985301971436,10.822190284729004,0.1318359375,0.03579175704989154,1.0,0.0,71.64847564697266,True,flow,97.85999272700428
0.1,0.099609375,43,922,102,2000,4.087298393249512,4.089771747589111,4.0324931144714355,4.0324931144714355,4.0324931144714355,6.387143135070801,4.7434000968933105,4.089260101318359,10.656312942504883,0.1337890625,0.03796095444685466,1.0,0.0,69.00968170166016,False,flow,93.4126154800033
0.1,0.099609375,44,922,102,2000,3.5365142822265625,3.536001205444336,3.52243709564209,3.5136687755584717,3.5136687755584717,5.9474196434021,4.238797664642334,3.5368568897247314,10.583795547485352,0.11328125,0.015184381778741865,1.0,0.0,29.242944717407227,True,flow,87.9018099160021
0.1,0.099609375,45,922,102,1950,3.8441660404205322,3.8453922271728516,3.796496868133545,3.522437572479248,3.522437572479248,6.43988037109375,4.535869598388672,3.8572726249694824,10.669853210449219,0.123046875,0.026030368763557483,1.0,0.0,43.5142822265625,False,flow,105.48800940499495
0.1,0.099609375,46,922,102,2000,3.55942964553833,3.5589041709899902,3.522437334060669,3.522437334060669,3.522437334060669,6.201546669006348,4.264588356018066,3.5603554248809814,10.630304336547852,0.111328125,0.013015184381778741,1.0,0.0,39.724853515625,False,flow,105.97520017399802
0.1,0.099609375,47,922,102,1900,3.6254706382751465,3.6269564628601074,3.5695295333862305,3.5136685371398926,3.5136685371398926,6.3632941246032715,4.332542419433594,3.6270501613616943,10.709640502929688,0.1298828125,0.033622559652928416,1.0,0.0,15.859807968139648,True,flow,106.00736430099641
